菜品ID,创建时间,菜名,烹饪方法,口味,制作步骤,相克食物,适用场景,口感,类别,主料,辅料,调料,推荐指数,麻辣指数,营养指数,难易指数,时间指数,减肥指数,养颜指数,菜品分类,营养成分_核黄素,营养成分_能量,营养成分_蛋白质,营养成分_脂肪,营养成分_碳水化合物,营养成分_叶酸,营养成分_膳食纤维,营养成分_胆固醇,营养成分_维生素A,营养成分_维生素B6,营养成分_维生素C,营养成分_维生素E,营养成分_胡萝卜素,营养成分_硫胺素,营养成分_烟酸,营养成分_钙,营养成分_磷,营养成分_钾,营养成分_钠,营养成分_碘,营养成分_镁,营养成分_铁,营养成分_锌,营养成分_硒,营养成分_铜,营养成分_锰,营养成分_维生素B12,营养成分_生物素,营养成分_泛酸,营养成分_维生素D,营养成分_维生素K,烹饪时长,难度等级,预估成本
277,2018-06-22 02:05:07,菌油墨鱼卷,炒,咸鲜味,1.墨鱼漂洗干净，用刀在其一面剞十字花刀，适当切块；葱茎洗净切段；姜去皮洗净切片。 　　2.锅中加入清水600克，放入黄酒、姜片、葱段、花椒烧开，下入墨鱼块稍煮，捞出控净水，码入盘中。 　　3.将精盐、味精、醋和鸡汤放碗内调匀，浇在墨鱼卷上，再淋上菌油即可。,墨鱼 墨鱼与茄子相克，同食容易引起霍乱。,早餐、中餐、晚餐、零食主料 墨鱼500克,,粤菜 滋阴食谱 通乳食谱 月经不调食谱 补血食谱,墨鱼500克,,大葱10克 姜10克 菌油30克 花椒10克 盐3克 味精3克 料酒2克 醋3克 胡椒粉2克 香油10克,6,0,7,6,6,0,0,粤菜,0.25毫克,553.11千卡,78.42克,15.51克,27.76克,37.69微克,3.43克,1130毫克,6.4微克,0.02毫克,0.7毫克,14.68毫克,38.6微克,0.13毫克,9.38毫克,152.11毫克,843.34毫克,2075.05毫克,2266.74毫克,69.66微克,215.32毫克,6.49毫克,7.05毫克,188.16微克,3.58毫克,1.32毫克,,,,,,37,1,27.0
278,2018-06-22 02:05:16,菌油茄夹,炒,咸鲜味,1.嫩茄子去皮削成圆柱状，做成茄夹；猪肉洗净剁成肉茸，加入料酒、精盐拌匀，酿入茄夹中，外表滚匀干淀粉；鸡蛋打散，加入面粉、水搅拌成糊。 　　2.炒锅置火上，下入色拉油烧至五成热，茄夹逐个挂匀鸡蛋糊，入油中炸至金黄，捞出沥油。 　3.净锅加入菌油烧热，投入蒜片、姜片爆香，掺入鲜汤，调入精盐、味精、胡椒粉，烧开后下入茄夹，用水淀粉勾芡，淋入明油，起锅装盘即成。,鸡蛋 与鹅肉同食损伤脾胃；与兔肉、柿子同食导致腹泻；同时不宜与甲鱼、鲤鱼、豆浆、茶同食。,早餐、中餐、晚餐、零食主料 茄子200克 猪肉(肥瘦)150克,,粤菜 贫血食谱 低温环境作业人群食谱 健脾开胃食谱,茄子200克 猪肉(肥瘦)150克,小麦面粉25克 鸡蛋75克,色拉油50克 姜5克 大蒜（白皮）5克 菌油50克 淀粉(豌豆)35克 料酒5克 酱油5克 盐3克 白砂糖3克 胡椒粉3克,6,0,7,6,6,0,0,粤菜,0.55毫克,1411.56千卡,36.97克,113.09克,70.83克,121.82微克,3.9克,558.75毫克,220.45微克,0.02毫克,10.55毫克,40.15毫克,111.8微克,0.58毫克,7.32毫克,116.57毫克,454.45毫克,837.44毫克,1670.5毫克,23.69微克,86.44毫克,6.73毫克,5.31毫克,32.04微克,0.46毫克,0.73毫克,,,,,,43,2,15.6
279,2018-06-22 02:05:16,斋猪肚,煮,甜味,1.将面筋用滚油炸透捞出；2.放油30克，烧热后下调料，麦芽糖煮滚，放入炸面筋焖至入味，约7分钟，勾芡，加15克香油，冷后上碟即可，宜冷吃。,,中餐、晚餐主料 水面筋400克,,粤菜 补虚养身食谱 清热去火食谱,水面筋400克,,麦芽糖23克 蚝油23克 老抽8克 味精3克 盐3克 芡粉10克 香油15克 植物油30克,6,0,7,6,6,0,0,粤菜,0.33毫克,827.79千卡,96.03克,15.43克,79.37克,3.2微克,3.68克,,,,,13.07毫克,,0.43毫克,5.05毫克,313.22毫克,548.62毫克,314.46毫克,2038.34毫克,0.23微克,109.19毫克,17.74毫克,7.15毫克,4.25微克,0.81毫克,3.53毫克,,,,,,37,1,11.0
280,2018-06-22 02:05:20,油泡肚花,炒,葱香味,1.先将锅放上清水，煮沸后把猪肚放进沸水中“拖”过，倒入漏勺内沥净水分；2.淀粉放碗内加水调制成湿淀粉；3.蒜切茸，姜切花，葱切段备用；4.起锅落油，烧至九成热，将猪肚泡油捞起；5.再起锅放进蒜茸、葱段、姜花及已泡油的猪肚，加黄酒，加味精，用湿淀粉开芡汤同炒便成。,,中餐、晚餐,此菜清脆爽口。,粤菜 气血双补食谱 补虚养身食谱 健脾开胃食谱,猪肚1000克,,姜8克 大葱8克 淀粉(玉米)8克 味精13克 黄酒8克 大蒜（白皮）3克 花生油90克,6,0,7,6,6,0,0,粤菜,2.21毫克,1855.72千卡,146.8克,125.02克,34.36克,39.2微克,0.45克,2900毫克,23.27微克,0.51毫克,0.77毫克,40.69毫克,19.62微克,1.02毫克,28.79毫克,146.89毫克,1545.21毫克,1755.6毫克,1818.36毫克,,129.82毫克,27.33毫克,19.9毫克,117.19微克,0.28毫克,0.7毫克,,,,,,47,2,17.0
281,2018-06-22 02:05:27,红烧松鱼头,红烧,酸辣味,1.把鱼头开两边去鳃洗干净，用精盐抹匀，然后上干淀粉；2.蒜仁切去头尾，芋头切块；3.猪肉、冬菇、红椒均切丁；4.起锅下油，把蒜仁炸至金黄色时捞起，芋头炸熟，捞起，鱼头也炸至呈金黄色时捞起；5.油倒回油盆，顺锅把肉丁、冬菇丁、红椒丁炒香，烹黄酒，下精盐、猪油，二汤600毫升，放入鱼头，芋头同?5分钟后投入蒜仁，再?5分钟，铲起鱼头落碟；6.其他料留在锅里加入味精、醋，勾芡，淋入猪油、香油，把制好的芡汁淋在鱼上即可。,芋头 芋头忌于香蕉同食。,中餐、晚餐主料 鲢鱼头1000克,,粤菜 营养不良食谱 健脾开胃食谱 青少年食谱,鲢鱼头1000克,芋头200克 猪肉(肥瘦)75克 大蒜（白皮）75克 香菇（鲜）30克 辣椒(红、尖、干)20克 淀粉(玉米)35克,盐15克 味精10克 猪油（炼制）50克 黄酒8克 醋8克 香油15克,6,5,7,6,5,0,0,粤菜,0.36毫克,1326.36千卡,26.06克,95.62克,103.72克,33.9微克,12.19克,106.5毫克,84.75微克,,17.55毫克,16.79毫克,342.5微克,0.45毫克,5.88毫克,132.99毫克,413.26毫克,1393.96毫克,6862.95毫克,,108.59毫克,7.62毫克,5.29毫克,15.71微克,1.17毫克,3.65毫克,,,,,,54,3,53.9
282,2018-06-22 02:05:27,牛市飘红,烧,咸甜味,1.牛小排洗净，切小块；2.将调味料（红葡萄酒1大匙，酱油1大匙，小苏打1/2大匙，清水1/2杯）先调匀，再放入牛小排腌20分钟；3.平底锅烧热，先放1大匙奶油及2大匙色拉油，再放入牛小排两面略煎，微黄时盛出；4.洋葱切片，以余油炒香，将牛小排回锅，倒入调味料（红葡萄酒2杯，糖1大匙，辣酱油1大匙）烧开，改小火烧入味；5.胡萝卜去皮，先煮熟再切花片；6.荷兰豆撕去老筋，氽烫过捞出冲凉；7.用2大匙油炒熟胡萝卜及荷兰豆，加盐调味，盛出后排入盘内；8.待作法2的汤汁稍干时，先拣出洋葱片，再将牛小排盛入盘内，接着面上淋汤汁即成。,,中餐、晚餐主料 牛排500克,,年夜饭 粤菜,牛排500克,洋葱（白皮）30克 胡萝卜30克 荷兰豆75克,红葡萄酒15克 酱油5克 辣酱油5克 苏打粉3克 盐4克 白砂糖4克,6,0,7,6,5,0,0,粤菜,0.81毫克,608.3千卡,113.8克,4.85克,25.52克,6.12微克,1.66克,315毫克,287.3微克,,18.3毫克,4.39毫克,1605微克,0.35毫克,36.88毫克,78.03毫克,1250.17毫克,909.76毫克,2265.4毫克,0.48微克,174.9毫克,23.68毫克,35.2毫克,14.71微克,0.65毫克,0.55毫克,,,,,,58,4,13.2
283,2018-06-22 02:05:29,干烧伊府面,干烧,咸甜味,1.将面粉倒在案盘上，开成窝形，把鸡蛋、碱水同时倾在窝内，与面粉拌匀，搓成面团；2.再擀成面片，改刀成伊面条；3.将面条放在滚水里，滚至刚刚熟，捞出漂水，冷却；4.将冷却后滤干水分的面条，放入滚油内炸热备用；5.虾仁洗净，用盐、味精、淀粉、蛋清略浆；6.草菇切片；7.韭黄切寸段；8.伊面下滚水泡软，捞出控净水分，并用一双竹筷挑凉，避免粘连成块；9.鲜虾仁下六成热油炸熟；10.炒锅烧热，落底油，加入草菇略煸，加伊面、汤、蚝油、白糖、胡椒粉、麻油、精盐，中火烧透；11.再点入老抽、味精、虾仁，翻拌均匀，最后落入韭黄翻匀，装盘即成。,鸡蛋 与鹅肉同食损伤脾胃；与兔肉、柿子同食导致腹泻；同时不宜与甲鱼、鲤鱼、豆浆、茶同食。,中餐、晚餐,色泽金黄，口味成鲜，质地滑嫩，略有回甜。,粤菜 快餐/主食,小麦面粉500克 鸡蛋300克,草菇30克 虾仁80克 韭黄40克,蚝油5克 盐2克 味精2克 白砂糖4克 老抽5克 碱5克 香油3克 胡椒粉5克 植物油40克,6,0,7,6,5,0,0,粤菜,1.19毫克,2356千卡,156.29克,44.3克,374.96克,458.28微克,19.52克,2175毫克,736.5微克,0.35毫克,6毫克,10.73毫克,107微克,2.66毫克,15.03毫克,783.19毫克,1801.95毫克,1975.66毫克,5721.12毫克,96.66微克,484毫克,19.64毫克,7.7毫克,141.53微克,2.73毫克,1.42毫克,,,,,,75,5,20.5
284,2018-06-22 02:05:34,滑蛋牛肉,软炒,本味咸鲜,1.鸡蛋搅匀，加入味精，精盐，胡椒粉，葱和油，一并拌成蛋浆；2.将生抽10克、小苏打6克、干淀粉5克、清水75毫升调成糊状；3.调好的糊中放入已片去筋膜的牛肉片拌匀；4.最后放入花生油，入冰箱保鲜室置30 分钟即成；5.在花生油烧至四成熟时放入牛肉片至熟捞出；6.沥油后的牛肉片与蛋浆一起拌匀；7.将炒锅放回火上，倒入拌匀的牛肉，边炒边加油，淋上花生油和香油炒匀即可。,鸡蛋 与鹅肉同食损伤脾胃；与兔肉、柿子同食导致腹泻；同时不宜与甲鱼、鲤鱼、豆浆、茶同食。,中餐、晚餐,此菜色泽浅黄而油润，肉嫩鲜滑，蛋香浓郁，营养价值极高。,粤菜 营养不良食谱 贫血食谱 健脾开胃食谱 家常菜,鸡蛋500克 牛肉(肥瘦)250克,,香油5克 盐3克 小葱1克 胡椒粉1克 味精3克 花生油50克,6,0,7,6,5,0,0,粤菜,1.7毫克,1388.75千卡,117.56克,109.47克,20.62克,566.85微克,0.04克,3135毫克,1189微克,,0.21毫克,35.35毫克,9微克,0.65毫克,15.03毫克,347.9毫克,1079.6毫克,1314.01毫克,2294.05毫克,136.08微克,102.73毫克,19.88毫克,17.6毫克,87.97微克,1.29毫克,0.5毫克,,,,,,59,3,27.0
285,2018-06-22 02:05:42,白雪鲜虾仁,炒,咸鲜味,1.将鲜牛奶、鸡蛋清、淀粉、味精、盐在碗内调匀待用；2.虾仁放碗内用5克盐腌30分钟备用；3.用武火起锅，文火将腌虾仁泡油后，捞起去油，倒在和匀的牛奶内；4.用武火起锅，文火把虾仁、牛奶等炒匀，边炒边加猪油，炒至成堆形状，即可上碟。,鸡蛋清 鸡蛋清不能与糖精、豆浆、兔肉同食。,中餐、晚餐,此菜软滑味鲜。,粤菜 骨质疏松食谱 补虚养身食谱 壮腰健肾食谱 补阳食谱,虾仁300克 牛奶150克,鸡蛋清150克 淀粉(玉米)8克,盐7克 味精4克 猪油（炼制）100克,6,0,7,6,5,0,0,粤菜,1.07毫克,1682.32千卡,154.7克,112.37克,17.81克,,0.01克,1690.5毫克,126微克,,1.5毫克,9.92毫克,,0.16毫克,15.55毫克,1841.48毫克,2136.66毫克,2013.28毫克,17929.3毫克,,747.9毫克,36.29毫克,12.16毫克,239.73微克,7.12毫克,2.44毫克,,,,,,48,2,28.1
286,2018-06-22 02:05:42,火腩焖大鳝,焖,本味咸鲜,1.将净大鳝切段，每段约重25克，用生抽抹匀；2.烤猪腩肉切块，每块约重15克；3.炒锅用旺火烧热，下入花生油，烧至五成热，放入鳝段过油约1分钟，至浅黄色，倒入笊篱沥去油；4.炒锅回放火上，下蒜、姜、陈皮末、黄酒、二汤250毫升、鳝段、烤肉块、香菇、炸蒜肉、精盐、味精、白糖、蚝油、老抽，用中火焖约2 分钟，盛出；5.将鳝段竖放在瓦钵内，烤肉块和香菇排在上面，倒入原汁，入蒸笼用中火蒸约30 分钟至?（软烂）取出；6.倒出原汁留用，将鳝段置盘中，撒上胡椒粉；7.炒锅用中火烧热，下花生油，加原汁，用湿淀粉调稀勾芡，加香油和花生油推匀，淋在鳝段上便成。,淀粉(蚕豆) 蚕豆不宜与田螺同食。,中餐、晚餐,嫩滑香浓,粤菜 冬季养生食谱 补虚养身食谱 补血食谱,河鳗750克,猪肉(肥瘦)150克 香菇（干）20克 淀粉(蚕豆)7克,姜2克 陈皮3克 盐4克 味精3克 大蒜（白皮）5克 蚝油10克 白砂糖3克 胡椒粉1克 老抽10克 香油10克 生抽5克 花生油70克 黄酒25克,6,0,7,6,4,0,0,粤菜,0.69毫克,2804.64千卡,166.56克,216.77克,50.08克,38.41微克,7.11克,1447.5毫克,30.55微克,,1.64毫克,64.33毫克,21.74微克,0.54毫克,38.33毫克,374.72毫克,2203.81毫克,2050.65毫克,3366.88毫克,0.4微克,326.94毫克,19.41毫克,14.11毫克,272.59微克,1.87毫克,1.66毫克,,,,,,53,4,21.0
287,2018-06-22 02:05:45,香糟肉,煨,糟香味,1.猪肉刮洗干净后切成骨牌状的片；2.猪肉放进铝锅，加水淹没肉约2厘米；3.煮开后撇去浮沫，再放葱、姜、花椒、盐、草果、酱油、香糟、八角等；4.另用炒锅放油炒冰糖渣，炒成不深不浅的糖汁后，倒入铝锅内搅匀，直到微火将肉烧至皮肉全烂，汤汁浓即成。,,中餐、晚餐主料 猪肋条肉（五花肉）750克,,粤菜 滋阴食谱 贫血食谱 青少年食谱,猪肋条肉（五花肉）750克,草果25克,姜8克 大葱8克 酱油8克 盐10克 八角5克 冰糖75克 香糟75克 花椒5克 猪油（炼制）25克,6,0,7,6,4,0,0,粤菜,0.38毫克,4810.31千卡,70.96克,468.2克,83.72克,1.2微克,4.01克,840.75毫克,86.37微克,0.01毫克,0.56毫克,1.86毫克,27.72微克,0.72毫克,18.36毫克,110.93毫克,746.97毫克,1686.81毫克,4998.69毫克,0.19微克,155.43毫克,10.23毫克,12.53毫克,28.27微克,0.51毫克,1.09毫克,,,,,,34,1,14.8
288,2018-06-22 02:05:45,七彩瓤猪肚,瓤,五香味,1.猪肚内壁翻出，洗净，再翻回原状；2.咸鸭蛋煮熟，去壳取黄与皮蛋均切成粒，每粒约1.5厘米见方；3.猪肉切成丁，约0.6 厘米见方；4.火腿切成细粒；5.香菜切成段，每段约1 厘米；6.猪皮刮洗干净，放入沸水锅内煮至六成软烂，取出，切成粒，大小如黄豆；7.将猪肉丁、精盐、味精放入盆中，搅至起胶，加入蛋黄、皮蛋，猪皮拌匀，再加入香菜，芝麻油搅成馅料；8.搅拌好的馅填入猪肚内，用线绳缝口；9.然后放入汤锅内，用中火煮约30分钟，捞出，用铁针扎数小孔；10.再放入汤锅内，用微火煮约2 小时至软烂，捞出；11.再放入用旺火烧沸的白卤水锅中，改用微火煮15分钟后，连白卤水一起倒入盆内；12.再加汾酒（白酒），浸泡约10 分钟、捞出；13.冷却后放入冰箱冷藏约2 小时取出，用刀横切两段，每段又切作两片，然后分切成片，每片厚0.3 厘米；14.装盘时拼砌成扇形或圆形即成。,松花蛋（鸭蛋） 松花蛋不宜与甲鱼、李子、红糖同食。,中餐、晚餐,七彩相杂，色泽丰富。特别是冷藏后，冷可炙口，爽可应齿。,粤菜 夏季养生食谱 孕妇食谱 补气食谱,猪肚500克 咸鸭蛋150克 松花蛋（鸭蛋）100克 猪肉(瘦)750克 猪肉皮250克,火腿15克,盐5克 味精3克 香油10克 白酒25克 香菜20克,6,0,7,6,2,0,0,粤菜,2.93毫克,3114.39千卡,328.39克,174.57克,38.51克,142.18微克,0.24克,3891.85毫克,809微克,0.26毫克,9.6毫克,23.59毫克,232微克,4.95毫克,57.18毫克,397.95毫克,2840.07毫克,3808.07毫克,8032.28毫克,20.39微克,454.31毫克,48.36毫克,38.46毫克,204.03微克,1.27毫克,0.54毫克,11.32微克,,,,,107,5,54.6
289,2018-06-22 02:05:46,香蒜炆虾,焖,蒜香味,1.将虾剪去脚，抽去肠线，洗净控干水分，将虾头、虾身分开；2.将60克油烧热，放虾头，用慢火煎炸呈红色，油也呈红色，放入虾身、姜丝煎约2分钟，放入糖、盐、黄酒、水?5分钟，将虾铲出上盘，余油留在锅中；3.将青蒜放锅内炒出香味，淋在虾上。,对虾 虾忌与某些水果同吃。虾含有比较丰富的蛋白质和钙等营养物质。如果把它们与含有鞣酸的水果，如葡萄、石榴、山楂、柿子等同食，不仅会降低蛋白质的营养价值，而且鞣酸和钙离子结合形成不溶性结合物刺激肠胃，引起人体不适，出现呕吐、头晕、恶心和腹痛腹泻等症状。海鲜与这些水果同吃至少应间隔2小时。,中餐、晚餐主料 对虾300克,,粤菜 补虚养身食谱 壮腰健肾食谱 补阳食谱 阳痿早泄食谱,对虾300克,,大蒜（白皮）8克 青蒜8克 姜8克 白砂糖15克 黄酒15克 盐3克,6,0,7,5,7,0,0,粤菜,0.23毫克,364.66千卡,56.7克,2.49克,26.91克,0.28微克,0.44克,579毫克,55.48微克,,2.16毫克,2.01毫克,63.2微克,0.04毫克,5.34毫克,203.01毫克,701.71毫克,711.27毫克,1679.27毫克,,138.32毫克,4.98毫克,7.35毫克,101.68微克,1.07毫克,0.71毫克,,,,,,27,1,25.0
290,2018-06-22 02:05:52,年年有余,清蒸,咸鲜味,1.鲈鱼洗净，由腹部剖开成背部相连之片状，平铺在抹过少许油的蒸盘内，另将2根葱、2片姜切小面放在鱼上；2.将调味料鱼露2大匙、酒1大匙、蚝油1/2大匙、色拉油1/2大匙、糖1茶匙，用小碗调匀，然后淋在鱼上，入锅以中火蒸10分钟；3.另外的3根葱、3片姜切丝，1个辣椒切丝并用清水浸泡；4.等鱼蒸好，取出后拣出葱、姜，并换盛到另一干净的盘子内，铺上葱、姜、辣椒丝；5.将调味料色拉油1大匙、麻油1大匙、胡椒粉少许烧热，淋在葱、姜、辣椒丝上即成。,鲈鱼 鲈鱼忌与牛羊油、奶酷和中药荆芥同食。,中餐、晚餐主料 鲈鱼750克,,粤菜 年夜饭,鲈鱼750克,,大葱15克 姜10克 鱼露10克 白酒5克 蚝油5克 色拉油10克 白砂糖3克 香油5克 胡椒粉4克,6,0,7,5,7,0,0,粤菜,1.29毫克,971.03千卡,140.25克,40.65克,8.01克,2.47微克,0.72克,645毫克,147.35微克,0.02毫克,0.85毫克,16.29毫克,29微克,0.24毫克,23.49毫克,1047.98毫克,1829.07毫克,1590.06毫克,1084.37毫克,0.33微克,289.56毫克,15.68毫克,21.53毫克,248.34微克,0.41毫克,0.71毫克,,,,,,57,2,37.0
291,2018-06-22 02:05:52,葱姜蒸乳鸽,清蒸,葱香味,将乳鸽宰净。将姜（剁碎）、葱（切丝）、味精、精盐（8克），混和拌匀，取一半放入鸽肚内，另一半放在鸽面上，蒸约11分钟熟后去掉姜、葱、将每只鸽切成六至八件，排于碟中。用猪油起锅，加入郊菜、精盐（3克），炒熟，隔起。再起锅下郊菜，溅入绍酒，用芡汤35克及湿淀粉35克（淀粉20克加水）打匀，再加包尾油，取出，伴于鸽件边。在蒸乳鸽的原汁中，加入蒸过的姜、葱，再加淡上汤、味精（3克）、麻油拌匀淋于鸽件面上。,,早餐、中餐、晚餐、零食主料 雏鸽800克,,粤菜 补虚养身食谱 营养不良食谱 气血双补食谱,雏鸽800克,芥蓝25克,大葱35克 姜35克 味精8克 盐11克 香油1克 黄酒15克 猪油（炼制）100克 淀粉(豌豆)20克,6,0,7,5,6,0,2,粤菜,2.96毫克,3830.67千卡,95.68克,373.83克,25.61克,14.87微克,2.24克,93毫克,552.4微克,0.94毫克,21.45毫克,12.87毫克,944.4微克,0.7毫克,20.66毫克,7008.87毫克,4619.47毫克,1496.11毫克,10229.8毫克,130.4微克,197.33毫克,17.84毫克,19.92毫克,96.54微克,0.85毫克,1.88毫克,62.96微克,,,,,34,1,15.2
292,2018-06-22 02:05:52,客家炒蚵,炒,咸鲜味,1.牡蛎先洗净沥干；葱切段；蒜头稍拍；红辣椒切片。2.油30克以中火烧热，放入牡蛎炒约1分钟，再加入葱、蒜、红辣椒、盐、味精、酱油同炒，最后加香菜及生粉10克、清水10克勾芡，炒匀即盛起。,牡蛎(鲜) 牡蛎肉不宜与糖同食。,早餐、中餐、晚餐、零食主料 牡蛎(鲜)230克,,粤菜 补血食谱 贫血食谱 骨质疏松食谱,牡蛎(鲜)230克,辣椒(红、尖)30克,植物油30克 香菜20克 大葱15克 大蒜（白皮）5克 盐2克 味精5克 酱油10克 芡粉10克,6,7,7,5,6,0,0,粤菜,0.37毫克,247.75千卡,16.12克,5.1克,35.94克,31.48微克,1.72克,230毫克,172.2微克,0.02毫克,53.6毫克,2.21毫克,660.1微克,0.06毫克,4.21毫克,359.44毫克,335.5毫克,648.38毫克,2846.88毫克,0.54微克,181.74毫克,18.78毫克,22.02毫克,200.38微克,18.81毫克,2.29毫克,,,,,,34,1,9.6
293,2018-06-22 02:05:55,油泡田鸡腿,炒,咸鲜味,1.淀粉（4克）放碗内加水调成湿淀粉（8克）；大蒜切碎成米状；2.田鸡腿洗净备用；3.将马铃薯去皮，然后刨薄片，用清水洗干净，再用清水浸漂几次，倒落笊篱凉干水分；4.起锅下油，把薯片下炸，要端离火口，炸至呈淡金黄色即可，倒回笊篱滗干油分，用碟盛起，加入几粒盐，几粒味精，把薯片拌匀，放落碟的两端，香菜也放在薯片旁；5.起锅下油少量把蒜头米用文火炒至呈金黄色，用碗盛起，加入味精、鱼露、胡椒粉、红椒末、麻油、湿淀粉、上汤等开匀，做为碗芡候用；6.起锅下猪油，田鸡腿加入湿淀粉拌匀，走油至熟倒回笊篱，铲净油锅；7.把田鸡腿倒回锅略炒，烹黄酒，投入芡汁抛锅加猪油，装碟即成。,香菜 服用补药和中药白术、丹皮时，不宜服用香菜，以免降低补药的疗效。,中餐、晚餐主料 田鸡400克,,粤菜,田鸡400克,土豆（黄皮）50克 香菜20克 辣椒(红、尖、干)15克,味精10克 盐5克 大蒜（白皮）8克 鱼露15克 香油10克 淀粉(玉米)4克 黄酒8克 胡椒粉3克 猪油（炼制）8克 花生油25克,6,5,7,5,6,0,0,粤菜,1.2毫克,901.04千卡,90.74克,49.8克,28.65克,40.45微克,7.26克,167.44毫克,69.96微克,0.14毫克,17.16毫克,21.84毫克,239.2微克,1.2毫克,36.84毫克,554.78毫克,898.85毫克,1543.18毫克,2845.29毫克,1.15微克,126.51毫克,9.17毫克,6.4毫克,65.45微克,0.47毫克,2.26毫克,,,,,,63,4,11.5
294,2018-06-22 02:05:58,香麻手撕鸡,汆,甜咸味,1.把鸡宰杀洗净用白卤水浸熟，斩出头、翼、尾留用；2.把鸡取肉，撕成粗条，鸡皮起出切件，鸡骨斩碎；3.芝麻放锅内炒熟（不加油）备用；4.用香油、猪油、味精、精盐分别把鸡皮、鸡肉、鸡骨拌匀，然后把鸡骨放在碟上，鸡肉排在骨上，鸡皮铺在肉上，再撒上炒熟的芝麻，最后将头、翼、尾砌回鸡形，用芫荽（香菜）伴边上席。,香菜 服用补药和中药白术、丹皮时，不宜服用香菜，以免降低补药的疗效。,中餐、晚餐,此菜香鲜可口。,粤菜 营养不良食谱 气血双补食谱 补虚养身食谱,鸡750克,白芝麻25克 香菜25克,味精2克 香油10克 盐5克 猪油（炼制）50克 白砂糖10克 冰糖3克,6,0,7,5,6,0,0,粤菜,0.79毫克,1976.07千卡,150.6克,140.27克,32.79克,37.39微克,2.75克,841.5毫克,421.75微克,,12毫克,24.38毫克,290微克,0.49毫克,43.51毫克,253.54毫克,1311.38毫克,2018.31毫克,2623.83毫克,0.38微克,201.85毫克,14.95毫克,9.38毫克,89.34微克,0.94毫克,0.63毫克,,,,,,36,1,15.0
295,2018-06-22 02:06:06,银丝红鲟,煮,咸鲜味,1.红鲟（鲟鱼）杀好，剥除肺叶，洗净内脏，切小块，在肉面沾少许干淀粉，用油略煎；2.另用2大匙油爆香1根葱、2片姜，焦黄时捞出，以余油炒红鲟块，加入所有调叶料和1杯清水烧开，改小火煮；3.绿豆粉条用热小泡软，煎两段，放入红鲟中同煮入味，5分钟后盛入小沙锅内，撒下葱花即可关火，盛出食用。,,中餐、晚餐主料 鲟鱼500克,,年夜饭 粤菜,鲟鱼500克,粉条50克,大葱10克 姜6克 料酒10克 蚝油5克 酱油3克 白砂糖5克 胡椒粉4克 淀粉(玉米)4克,6,0,7,5,6,0,0,粤菜,0.01毫克,223.23千卡,1.09克,0.21克,55.07克,1.36微克,0.8克,,3.18微克,0.02毫克,0.54毫克,,19微克,0.02毫克,0.32毫克,29.2毫克,29.9毫克,54.54毫克,179.76毫克,0.4微克,19.93毫克,3.56毫克,0.56毫克,1.52微克,0.12毫克,0.38毫克,,,,,,44,1,27.5
296,2018-06-22 02:06:10,潮州蚝煎,煎,咸鲜味,1.牡蛎加生粉10克洗净；葱切末；鸡蛋打匀。2.牡蛎、葱花加番薯粉50克、生粉50克、鱼露、味精、清水调和均匀，倒入热油锅中压平，以小火煎，并淋些油稍翻动，使之不粘锅，呈黄褐色时翻面，浇淋蛋糊，再淋些油继续煎，重复翻面煎数次起锅铲切成两份，盛于盘中，四周可用香菜装饰。,鸡蛋 与鹅肉同食损伤脾胃；与兔肉、柿子同食导致腹泻；同时不宜与甲鱼、鲤鱼、豆浆、茶同食。,早餐、中餐、晚餐、零食主料 牡蛎(鲜)190克,,粤菜 骨质疏松食谱 克山病食谱 补血食谱 贫血食谱,牡蛎(鲜)190克,鸡蛋210克 甘薯粉50克 芡粉60克,大葱15克 鱼露5克 植物油50克 味精2克,6,0,7,5,6,0,0,粤菜,0.84毫克,762.51千卡,41.29克,22.62克,114.79克,239.66微克,0.89克,1418.5毫克,545.85微克,0.02毫克,0.45毫克,5.4毫克,19.6微克,0.28毫克,3.38毫克,414.85毫克,516.33毫克,762.58毫克,1339.86毫克,57.12微克,206.44毫克,24.96毫克,20.45毫克,196.31微克,15.83毫克,1.98毫克,,,,,,28,3,12.1
297,2018-06-22 02:06:10,碧绿上汤鸡,溜,咸鲜味,1.将鸡宰杀洗净后放入开水内煮熟备用；2.将熟白鸡斩成块上盘，摆成鸡形，用开水泡热，然后倾去水分；3.用旺火热炒锅，下油（15克），放油菜、盐、沸水，炒至仅熟，倾入疏壳；4.再热炒锅，下油，放油菜，用芡汤加湿淀粉勾芡，取出，围在鸡身旁边；5.将锅置中火上，下油（10克），赞黄酒，加上汤250克、精盐、味精；6.沸后先把上汤浇上鸡身，余下上汤用湿淀粉勾芡，加包尾油拌匀，浇上鸡形顶端即成。,,中餐、晚餐,此菜鲜香肉滑。,粤菜 营养不良食谱 气血双补食谱 补虚养身食谱 活血化瘀食谱,鸡600克,油菜300克,盐4克 味精10克 香油1克 猪油（炼制）50克 淀粉(玉米)8克 黄酒10克,6,0,7,5,6,0,0,粤菜,0.89毫克,1580.48千卡,125.47克,108.72克,28.75克,138.62微克,3.31克,682.5毫克,610.5微克,,108毫克,9.96毫克,1860微克,0.44毫克,35.87毫克,394.42毫克,1057.5毫克,2140.2毫克,2936.67毫克,,182.76毫克,12.54毫克,7.63毫克,73.13微克,0.63毫克,0.98毫克,,,,,,44,2,16.0
